Symbol,Entry Date,Entry Price,Exit Date,Exit Price,PnL,Strategy
TSLA,2025-05-12 11:38:56.026472,320.465,2025-05-12 11:39:59.668099,319.88,-0.58,Breakout
MSFT,2025-05-12 11:38:56.772207,443.8264,2025-05-12 11:48:00.842260,443.795,-0.03,Breakout
TSLA,2025-05-12 11:38:58.720726,320.56,2025-05-12 11:40:02.626327,319.895,-0.67,Breakout
MSFT,2025-05-12 11:38:59.618925,443.83,2025-05-12 11:48:03.742764,443.87,0.04,Breakout
TSLA,2025-05-12 11:39:59.475994,319.88,2025-05-12 11:40:36.344058,319.95,0.07,Breakout
TSLA,2025-05-12 11:40:02.453616,319.895,2025-05-12 11:41:25.050406,319.74,-0.15,Breakout
TSLA,2025-05-12 11:40:36.170555,319.95,2025-05-12 11:41:54.441921,319.76,-0.19,Breakout
TSLA,2025-05-12 11:41:24.882072,319.74,2025-05-12 11:42:04.432223,319.8874,0.15,Breakout
TSLA,2025-05-12 11:41:54.269472,319.76,2025-05-12 11:42:11.783710,320.03,0.27,Breakout
TSLA,2025-05-12 11:42:04.256437,319.8874,2025-05-12 11:43:48.578816,320.135,0.25,Breakout
TSLA,2025-05-12 11:42:11.601799,320.03,2025-05-12 11:44:49.741387,320.14,0.11,Breakout
TSLA,2025-05-12 11:43:48.380122,320.135,2025-05-12 11:44:52.187313,320.1499,0.01,Breakout
TSLA,2025-05-12 11:44:49.493676,320.14,2025-05-12 11:45:53.123385,320.2086,0.07,Breakout
TSLA,2025-05-12 11:44:52.010484,320.1499,2025-05-12 11:45:55.719143,320.215,0.07,Breakout
TSLA,2025-05-12 11:45:52.947365,320.2086,2025-05-12 11:46:56.508550,320.37,0.16,Breakout
